what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000674899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000683188
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315000683275
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315000686234
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315000687119
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315000688318
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315000689959
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315000690351
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315000691641
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315000697650
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315000699505
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315000704698
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315000714458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000718304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000731372
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315000734000
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315000736900
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315000739194
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1315000742110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000747511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000750853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000751038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000754456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315000760265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315001041697
